path,action,border_bright_fraction,removed_ratio,mode,size
assets/common/deco-balloon-yellow.png,cleaned-bg,1.000,0.672,RGBA,1086x1448
assets/common/deco-bunting.png,cleaned-bg,1.000,0.861,RGBA,2172x724
assets/common/deco-cloud-soft.png,cleaned-bg,1.000,0.896,RGBA,1536x1024
assets/common/deco-ribbon-label.png,cleaned-bg,1.000,0.653,RGBA,2172x724
assets/common/deco-sparkle-set.png,cleaned-bg,1.000,0.924,RGBA,1448x1086
assets/common/deco-vine-horizontal.png,cleaned-bg,1.000,0.871,RGBA,1254x1254
assets/common/floral-corner-bl.png,cleaned-bg,1.000,0.853,RGBA,1254x1254
assets/common/floral-corner-br.png,cleaned-bg,1.000,0.967,RGBA,2172x724
assets/common/floral-corner-tl.png,cleaned-bg,1.000,0.834,RGBA,1254x1254
assets/common/floral-corner-tr.png,cleaned-bg,1.000,0.841,RGBA,1254x1254
assets/common/logo-badge.png,cleaned-bg,1.000,0.623,RGBA,1254x1254
assets/common/pattern-picnic-check.png,kept,0.000,0.000,RGBA,1254x1254
assets/common/prop-daisy-cluster.png,cleaned-bg,1.000,0.649,RGBA,1254x1254
assets/common/prop-gift-box.png,cleaned-bg,1.000,0.457,RGBA,1254x1254
assets/common/prop-lemonade-glass.png,cleaned-bg,1.000,0.592,RGBA,1086x1448
assets/common/prop-picnic-basket.png,cleaned-bg,1.000,0.524,RGBA,1254x1254
assets/common/prop-radio.png,cleaned-bg,1.000,0.611,RGBA,1448x1086
assets/common/prop-sunflower-bouquet.png,cleaned-bg,1.000,0.579,RGBA,1254x1254
assets/index/banner-event.png,kept,0.000,0.000,RGBA,1122x1402
assets/index/banner-radio-time.png,kept,0.000,0.000,RGBA,2172x724
assets/index/card-ladder-preview.png,cleaned-bg,1.000,0.496,RGBA,1122x1402
assets/index/card-pinball-preview.png,kept,0.000,0.000,RGBA,1122x1402
assets/index/card-reaction-preview.png,cleaned-bg,1.000,0.575,RGBA,1309x1201
assets/index/hero-bg-sunflower-field.png,kept,0.000,0.000,RGBA,1672x941
assets/index/hero-main.png,cleaned-bg,0.438,0.321,RGBA,1122x1402
assets/index/hero-props-left.png,kept,0.000,0.000,RGBA,2172x724
assets/index/hero-props-right.png,cleaned-bg,0.852,0.590,RGBA,1122x1402
assets/ladder/deco-ladder-gift.png,cleaned-bg,1.000,0.559,RGBA,1254x1254
assets/ladder/deco-ladder-sunflower.png,cleaned-bg,1.000,0.542,RGBA,1254x1254
assets/ladder/deco-ladder-ticket.png,cleaned-bg,1.000,0.562,RGBA,1254x1254
assets/ladder/meyou-center-halfbody.png,cleaned-bg,0.929,0.710,RGBA,1122x1402
assets/ladder/result-badge-sunshine.png,cleaned-bg,1.000,0.410,RGBA,1254x1254
assets/ladder/reward-12426.png,cleaned-bg,1.000,0.428,RGBA,1254x1254
assets/ladder/reward-1426.png,cleaned-bg,1.000,0.752,RGBA,1254x1254
assets/ladder/reward-2826.png,cleaned-bg,1.000,0.538,RGBA,1254x1254
assets/ladder/reward-5726.png,cleaned-bg,1.000,0.533,RGBA,1254x1254
assets/pinball/badge-jackpot-200.png,cleaned-bg,1.000,0.509,RGBA,1254x1254
assets/pinball/badge-plus30.png,cleaned-bg,1.000,0.542,RGBA,1254x1254
assets/pinball/badge-plus50.png,cleaned-bg,1.000,0.433,RGBA,1254x1254
assets/pinball/badge-x2.png,cleaned-bg,1.000,0.497,RGBA,1254x1254
assets/pinball/cat-left.png,cleaned-bg,1.000,0.693,RGBA,1122x1402
assets/pinball/cat-right.png,cleaned-bg,1.000,0.547,RGBA,1122x1402
assets/pinball/pinball-board-bg.png,kept,0.000,0.000,RGBA,1122x1402
assets/pinball/pinball-panel-deco.png,cleaned-bg,1.000,0.782,RGBA,1024x1536
assets/pinball/pinball-sun-face.png,cleaned-bg,1.000,0.618,RGBA,1254x1254
assets/reaction/aegyo-hero.png,kept,0.000,0.000,RGBA,1122x1402
assets/reaction/avatar.png,cleaned-bg,1.000,0.478,RGBA,1254x1254
assets/reaction/brand-mark.png,cleaned-bg,1.000,0.551,RGBA,1254x1254
assets/reaction/choice-aegyo-frame-1.png,cleaned-bg,1.000,0.182,RGBA,1122x1402
assets/reaction/choice-aegyo-frame-2.png,cleaned-bg,1.000,0.725,RGBA,1122x1402
assets/reaction/choice-roast-frame-1.png,cleaned-bg,1.000,0.237,RGBA,1122x1402
assets/reaction/choice-roast-frame-2.png,cleaned-bg,1.000,0.656,RGBA,1122x1402
assets/reaction/deco-chat-reaction.png,cleaned-bg,1.000,0.577,RGBA,1254x1254
assets/reaction/roast-hero.png,kept,0.000,0.000,RGBA,1122x1402
